UID,mean.annual.flow,basin.area,max.basin.elevation,mean.basin.elevation,min.basin.elevation,range.basin.elevation,pct.ISC,tmax.annual,tmin.annual,pct.ag,pct.urb,pct.for
11175,114.34984,281.309,282.042,235.758,201.411,80.631,6.756,17.04,5.39,72.083,21.867,5.255
11176,7.27438,17.884,368.469,357.59,347.394,21.075,0.382,15.52,4.39,86.234,7.242,5.663
11177,1.47696,3.541,290.941,277.613,267.57,23.371,0.264,15.11,4.38,93.569,4.372,2.059
11180,1.73957,3.74,259.17,254.425,251.311,7.859,0.477,15.61,4.55,88.688,3.538,4.164
11181,,,,,,,,,,,,
11182,,,,,,,,,,,,
11183,,,,,,,,,,,,
11184,2152.23468,6551.524,389.943,283.561,214.961,174.982,2.161,15.23,4.28,61.721,9.535,10.414
11185,,,,,,,,,,,,
11186,314.64095,838.866,277.541,225.304,156.982,120.558,1.189,16.34,4.94,87.636,5.422,6.589
11187,1215.98409,3286.455,302.98,242.966,199.087,103.893,1.143,15.67,4.39,76.551,7.762,10.181
11188,5.12158,6.382,260.567,215.792,172.094,88.473,0.881,18.61,6.49,25.737,9.901,62.092
11189,836.39971,2260.542,302.98,251.934,211.784,91.195,1.301,15.4,4.25,73.989,8.567,10.673
11191,1481.95566,4580.368,286.697,225.887,191.801,94.896,2.041,15.52,4.08,71.568,8.938,11.46
11192,28.39876,80.046,298.544,275.157,257.408,41.136,0.383,15.76,4.72,87.785,4.545,6.642
11193,149.58019,318.574,220.8,157.062,128.504,92.296,0.843,18.25,6.67,81.824,6.486,10.557
11194,3507.81746,10812.516,389.943,272.153,172.745,217.198,3.475,14.89,4.19,59.741,13.905,10.379
11195,576.16066,1792.29,327.751,272.868,220.366,107.385,3,15.25,4.29,67.534,12.879,7.969
11196,0.81625,1.6,307.09,289.074,265.35,41.74,0.426,16.76,4.69,48.257,8.549,42.07
11197,6.47657,10.958,276.595,259.19,249.855,26.74,3.469,15,4.26,77.275,13.822,5.059
11198,,,,,,,,,,,,
11199,0.35098,2131.378,302.98,253.721,213.554,89.426,1.341,15.33,4.21,74.512,8.757,9.965
11200,449.62308,1368.347,389.943,313.954,265.654,124.289,2.18,14.66,3.3,60.747,9.646,11.645
11201,3095.4906,12405.812,382.852,260.183,182.717,200.135,2.883,13.94,1.94,55.899,12.13,16.552
11203,569.63551,1977.052,321.369,234.298,186.522,134.847,1.191,14.28,2.93,57.251,6.696,19.336
11205,3408.61248,13607.431,382.852,256.147,176.428,206.424,4.105,13.91,3.66,54.138,15.061,16.001
11206,796.5565,3017.294,387.266,254.997,177.809,209.457,5.74,14.29,2.98,41.182,21.606,23.331
11207,798.32023,3611.756,382.852,282.581,219.025,163.828,4.835,14.22,2.74,51.003,16.714,14.466
11208,397.63442,1798.993,382.852,293.291,258.104,124.749,3.137,14.06,2.92,46.075,12.733,17.802
11210,525.46112,1762.141,321.108,238.06,175.449,145.659,1.178,13.23,4.03,70.786,6.28,13.369
11211,0.57148,6117.351,384.72,226.727,173.349,211.371,11.311,14.21,5.2,38.382,28.771,14.938
